Country,Population
Burundi,11891
Comoros,870
Djibouti,988
Eritrea,3546
Ethiopia,114964
Kenya,53771
Madagascar,27691
Malawi,19130
Mauritius,1272
Mayotte,273
Mozambique,31255
Réunion,895
Rwanda,12952
Seychelles,98
Somalia,15893
South Sudan,11194
Uganda,45741
United Republic of Tanzania,59734
Zambia,18384
Zimbabwe,14863
Angola,32866
Cameroon,26546
Central African Republic,4830
Chad,16426
Congo,5518
Democratic Republic of the Congo,89561
Equatorial Guinea,1403
Gabon,2226
Sao Tome and Principe,219
Botswana,2352
Eswatini,1160
Lesotho,2142
Namibia,2541
South Africa,59309
Benin,12123
Burkina Faso,20903
Cabo Verde,556
Côte d'Ivoire,26378
Gambia,2417
Ghana,31073
Guinea,13133
Guinea-Bissau,1968
Liberia,5058
Mali,20251
Mauritania,4650
Niger,24207
Nigeria,206140
Saint Helena,6
Senegal,16744
Sierra Leone,7977
Togo,8279
Algeria,43851
Egypt,102334
Libya,6871
Morocco,36911
Sudan,43849
Tunisia,11819
Western Sahara,597
Armenia,2963
Azerbaijan,10139
Bahrain,1702
Cyprus,1207
Georgia,3989
Iraq,40223
Israel,8656
Jordan,10203
Kuwait,4271
Lebanon,6825
Oman,5107
Qatar,2881
Saudi Arabia,34814
State of Palestine,5101
Syrian Arab Republic,17501
Turkey,84339
United Arab Emirates,9890
Yemen,29826
Kazakhstan,18777
Kyrgyzstan,6524
Tajikistan,9538
Turkmenistan,6031
Uzbekistan,33469
Afghanistan,38928
Bangladesh,164689
Bhutan,772
Iran (Islamic Republic of),83993
Maldives,541
Nepal,29137
Pakistan,220892
Sri Lanka,21413
Dem. People's Republic of Korea,25779
Japan,126476
Mongolia,3278
Republic of Korea,51269
Brunei Darussalam,437
Cambodia,16719
Lao People's Democratic Republic,7276
Malaysia,32366
Myanmar,54410
Singapore,5850
Thailand,69800
Timor-Leste,1318
Viet Nam,97339
Anguilla,15
Antigua and Barbuda,98
Aruba,107
Bahamas,393
Barbados,287
"Bonaire, Sint Eustatius and Saba",26
British Virgin Islands,30
Cayman Islands,66
Cuba,11327
Curaçao,164
Dominica,72
Dominican Republic,10848
Grenada,113
Guadeloupe,400
Haiti,11403
Jamaica,2961
Martinique,375
Montserrat,5
Puerto Rico,2861
Saint Barthélemy,10
Saint Kitts and Nevis,53
Saint Lucia,184
Saint Martin (French part),39
Saint Vincent and the Grenadines,111
Sint Maarten (Dutch part),43
Trinidad and Tobago,1399
Turks and Caicos Islands,39
United States Virgin Islands,104
Belize,398
Costa Rica,5094
El Salvador,6486
Guatemala,17916
Honduras,9905
Mexico,128933
Nicaragua,6625
Panama,4315
Argentina,45196
Bolivia (Plurinational State of),11673
Brazil,212559
Chile,19116
Colombia,50883
Ecuador,17643
Falkland Islands (Malvinas),3
French Guiana,299
Guyana,787
Paraguay,7133
Peru,32972
Suriname,587
Uruguay,3474
Venezuela (Bolivarian Republic of),28436
Australia,25500
New Zealand,4822
Fiji,896
New Caledonia,285
Papua New Guinea,8947
Solomon Islands,687
Vanuatu,307
Guam,169
Kiribati,119
Marshall Islands,59
Micronesia (Fed. States of),115
Nauru,11
Northern Mariana Islands,58
Palau,18
American Samoa,55
Cook Islands,18
French Polynesia,281
Niue,2
Samoa,198
Tokelau,1
Tonga,106
Tuvalu,12
Wallis and Futuna Islands,11
Belarus,9449
Bulgaria,6948
Czechia,10709
Hungary,9660
Poland,37847
Republic of Moldova,4034
Romania,19238
Russian Federation,145934
Slovakia,5460
Ukraine,43734
Channel Islands,174
Denmark,5792
Estonia,1327
Faroe Islands,49
Finland,5541
Iceland,341
Ireland,4938
Isle of Man,85
Latvia,1886
Lithuania,2722
Norway,5421
Sweden,10099
United Kingdom,67886
Albania,2878
Andorra,77
Bosnia and Herzegovina,3281
Croatia,4105
Gibraltar,34
Greece,10423
Holy See,1
Italy,60462
Malta,442
Montenegro,628
North Macedonia,2083
Portugal,10197
San Marino,34
Serbia,8737
Slovenia,2079
Spain,46755
Austria,9006
Belgium,11590
France,65274
Germany,83784
Liechtenstein,38
Luxembourg,626
Monaco,39
Netherlands,17135
Switzerland,8655
Bermuda,62
Canada,37742
Greenland,57
Saint Pierre and Miquelon,6
United States of America,331003
