Region,id,Population
NORTHERN AMERICA,United States of America,331003
South-Eastern Asia,Indonesia,273524
Southern Asia,Pakistan,220892
South America,Brazil,212559
Western Africa,Nigeria,206140
Southern Asia,Bangladesh,164689
Eastern Europe,Russian Federation,145934
Central America,Mexico,128933
Eastern Asia,Japan,126476
Eastern Africa,Ethiopia,114964
South-Eastern Asia,Philippines,109581
Northern Africa,Egypt,102334
South-Eastern Asia,Viet Nam,97339
Middle Africa,Democratic Republic of the Congo,89561
Western Asia,Turkey,84339
Southern Asia,Iran (Islamic Republic of),83993
Western Europe,Germany,83784
South-Eastern Asia,Thailand,69800
Northern Europe,United Kingdom,67886
Western Europe,France,65274
Southern Europe,Italy,60462
Eastern Africa,United Republic of Tanzania,59734
Southern Africa,South Africa,59309
South-Eastern Asia,Myanmar,54410
Eastern Africa,Kenya,53771
Eastern Asia,Republic of Korea,51269
South America,Colombia,50883
Southern Europe,Spain,46755
Eastern Africa,Uganda,45741
South America,Argentina,45196
Northern Africa,Algeria,43851
Northern Africa,Sudan,43849
Eastern Europe,Ukraine,43734
Western Asia,Iraq,40223
Southern Asia,Afghanistan,38928
Eastern Europe,Poland,37847
NORTHERN AMERICA,Canada,37742
Northern Africa,Morocco,36911
Western Asia,Saudi Arabia,34814
Central Asia,Uzbekistan,33469
South America,Peru,32972
Middle Africa,Angola,32866
South-Eastern Asia,Malaysia,32366
Eastern Africa,Mozambique,31255
Western Africa,Ghana,31073
Western Asia,Yemen,29826
Southern Asia,Nepal,29137
South America,Venezuela (Bolivarian Republic of),28436
Eastern Africa,Madagascar,27691
Middle Africa,Cameroon,26546
Western Africa,Côte d'Ivoire,26378
Eastern Asia,Dem. People's Republic of Korea,25779
AUSTRALIA/NEW ZEALAND,Australia,25500
Western Africa,Niger,24207
Eastern Asia,"China, Taiwan Province of China",23817
Southern Asia,Sri Lanka,21413
Western Africa,Burkina Faso,20903
Western Africa,Mali,20251
Eastern Europe,Romania,19238
Eastern Africa,Malawi,19130
South America,Chile,19116
Central Asia,Kazakhstan,18777
Eastern Africa,Zambia,18384
Central America,Guatemala,17916
South America,Ecuador,17643
Western Asia,Syrian Arab Republic,17501
Western Europe,Netherlands,17135
